review_title,review_author,review_rating,review_comment
Great product,shringin ambli,5,Super phone. Best price when I bought. Super experience with amazing camera.READ MORE
Worth every penny,Hemsagar  Patel,5,Apple Is LoveREAD MORE
Great product,Sreejith K S,5,Switched from android to ios (from s20 fe to 14 pro). Camera and battery are commendable (probably the best in the market).READ MORE
Perfect product!,Ranjodh  Kumar ,5,OkREAD MORE
Wonderful,Ashutosh Kumar,5,"Before this i had iphone 13 pro, i got it for my girlfriend birthday gift. Amazing everything, and just one thing to say it is what it is🔥Delivery is quick. Thanks flipkart❤️READ MORE"
Must buy!,Rahul  Jangir,5,amazing productREAD MORE
Decent product,Flipkart Customer,3,It's averageREAD MORE
Perfect product!,Flipkart Customer,5,Apple iPhone 14 ProREAD MORE
Super!,Flipkart Customer,5,AwesomeREAD MORE
Just wow!,Ravindra  P,5,Good oneREAD MORE
Super!,Flipkart Customer,5,AmazingREAD MORE
Terrific purchase,Rithik  L,5,This is an excellent product✌🏻READ MORE
Terrific purchase,Flipkart Customer,5,Very goodREAD MORE
Best in the market!,vinay kumar yadav,5,Good looking 🤩READ MORE
Very Good,Sateesh B,4,GoodREAD MORE
Highly recommended,Mohit maurya,5,GoodREAD MORE
Must buy!,Sharwan Singh,5,AwesomeREAD MORE
Great product,Arvinder  Singh,5,Got 100% genuine apple iPhone ( indian version)READ MORE
Excellent,Akhilesh Kumar Jaiswal,5,Awesome phone worth shifting from android to iPhoneREAD MORE
Must buy!,Raju Vemula,5,Excellent thank you Flipkart 🤝READ MORE
Highly recommended,Flipkart Customer,5,Super 💖💖💖READ MORE
Just wow!,Binod Gupta,5,I love ❤️  this phoneREAD MORE
Excellent,Rishu Mishra,5,SuperbREAD MORE
Simply awesome,Sachin M,5,NiceREAD MORE
Excellent,Hemant Rokade,5,BestREAD MORE
Does the job,Swagat Sahoo,3,Expected better cameraREAD MORE
Value-for-money,Mohammed Hussain  Hussein ,4,😊 Best phone. I'm happy. 😊READ MORE
Best in the market!,Flipkart Customer,5,AwesomeREAD MORE
Awesome,Durga Meena,5,Nyc phoneREAD MORE
Classy product,Ritik Kumar,5,Nice pic ofREAD MORE
Value-for-money,Mohammed Hussain  Hussein ,4,😊 Best phone. I'm happy. 😊READ MORE
Terrific,Saurabh Yadav,5,READ MORE
Best in the market!,Flipkart Customer,5,AwesomeREAD MORE
Awesome,Durga Meena,5,Nyc phoneREAD MORE
Mind-blowing purchase,aaquib iqbal,5,READ MORE
Classy product,Ritik Kumar,5,Nice pic ofREAD MORE
Not recommended at all,Gaurav Sonal,1,Wrost product facing many issues.READ MORE
Just wow!,Sushil Kumar,5,READ MORE
Nice product,Ravi Kant,4,READ MORE
Great product,Flipkart Customer,5,Amazing productREAD MORE
Does the job,Swagat Sahoo,3,Expected better cameraREAD MORE
Mind-blowing purchase,aaquib iqbal,5,READ MORE
Brilliant,Nilkanth Deshpande,5,Super excellentREAD MORE
Super!,RK Satya,5,Camera RAW quality is outstanding. Superb quality. And the pro motion display is so smooth. Loved it.READ MORE
Terrific,Noel  John,5,"Best Phone I have ever used.I am coming from android to iPhone for the first time and this is the best experience I have ever received.If you have budget, just go for it:)READ MORE"
